experiment,model,solver,mode,test_case,avg_sec,avg_iter,objective,termination,numerical_issues,presolve
157,3624.mps,gurobi,primal,1,23.31,139094.00,9305224.36,OPTIMAL,no,yes
158,3624.mps,gurobi,primal,2,11.84,142691.00,9305224.36,OPTIMAL,no,yes
159,3624.mps,gurobi,primal,3,8.23,105838.00,9305224.36,OPTIMAL,no,yes
160,3624.mps,gurobi,primal,4,16.68,84580.00,9305224.36,OPTIMAL,no,yes
161,3624.mps,gurobi,primal,5,2.97,64.00,9305224.56,OPTIMAL,no,yes
162,3624.mps,gurobi,primal,6,14.22,62.00,9305262.08,OPTIMAL,yes,no
163,3624.mps,gurobi,primal,7,2.71,57.00,9305225.38,OPTIMAL,no,yes
164,3624.mps,gurobi,primal,8,19.38,64.00,9305224.99,OPTIMAL,yes,no
165,3624.mps,gurobi,jump_conic_dual,1,8.22,118794.00,9305224.36,OPTIMAL,no,yes
166,3624.mps,gurobi,jump_conic_dual,2,55.70,157615.00,9305224.36,OPTIMAL,no,yes
167,3624.mps,gurobi,jump_conic_dual,3,16.91,72925.00,9305224.36,OPTIMAL,no,yes
168,3624.mps,gurobi,jump_conic_dual,4,23.77,173755.00,9305224.36,OPTIMAL,no,yes
169,3624.mps,gurobi,jump_conic_dual,5,64.13,137.00,9306390.84,OPTIMAL,yes,no
170,3624.mps,gurobi,jump_conic_dual,6,4.24,61.00,9305224.51,OPTIMAL,no,yes
171,3624.mps,gurobi,jump_conic_dual,7,52.55,97.00,9305230.91,OPTIMAL,yes,no
172,3624.mps,gurobi,jump_conic_dual,8,4.87,64.00,9305259.43,OPTIMAL,no,yes
173,3624.mps,gurobi,general,1,19.45,133759.00,9305224.36,OPTIMAL,no,yes
174,3624.mps,gurobi,general,2,85.31,137500.00,9305224.36,OPTIMAL,no,yes
175,3624.mps,gurobi,general,3,16.00,71819.00,9305224.36,OPTIMAL,no,yes
176,3624.mps,gurobi,general,4,38.12,205814.00,9305224.36,OPTIMAL,no,yes
177,3624.mps,gurobi,general,5,115.68,289.00,9305734.82,OPTIMAL,yes,no
178,3624.mps,gurobi,general,6,3.59,60.00,9305233.78,OPTIMAL,no,yes
179,3624.mps,gurobi,general,7,56.30,136.00,9305314.39,OPTIMAL,yes,no
180,3624.mps,gurobi,general,8,5.11,66.00,9305224.50,OPTIMAL,no,yes
181,3624.mps,highs,primal,1,48.64,84963.00,9305224.36,OPTIMAL,no,yes
182,3624.mps,highs,primal,2,35.51,84963.00,9305224.36,OPTIMAL,no,yes
183,3624.mps,highs,primal,3,28.68,89902.00,9305224.36,OPTIMAL,no,yes
184,3624.mps,highs,primal,4,70.65,96805.00,9305224.36,OPTIMAL,no,yes
